lat,lon,alt,time,dist,dt,ddist,vel_kmh,dalt,pendiente_%,aceleracion,consumo_kwh,consumo_acum_kwh
4.76803396,-74.14508067,2579.26,2025-09-17 12:17:59+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.76812957,-74.14504902,2579.02,2025-09-17 12:18:10+00:00,11.194890351687931,11.0,11.194890351687931,3.66378229691605,-0.24000000000023647,-2.143835200351471,0.3330711179014591,0.013433868422025517,0.013433868422025517
4.76822214,-74.14509173,2578.78,2025-09-17 12:18:14+00:00,22.52408998794248,4.0,11.32919963625455,10.196279672629096,-0.23999999999978172,-2.1184197269483906,1.6331243439282614,0.01359503956350546,0.027028907985530978
4.76829749,-74.14516012,2579.68,2025-09-17 12:18:19+00:00,33.82145933463255,5.0,11.297369346690068,8.134105929616851,0.8999999999996362,7.9664563703347495,-0.412434748602449,0.013556843216028082,0.04058575120155906
4.76837852,-74.14524751,2579.88,2025-09-17 12:18:27+00:00,47.04856222036612,8.0,13.227102885733572,5.952196298580108,0.20000000000027285,1.5120469064770632,-0.27273870387959287,0.015872523462880286,0.05645827466443934
4.76846367,-74.14533692,2579.62,2025-09-17 12:18:29+00:00,60.75282520457063,2.0,13.704262984204505,24.66767337156811,-0.2600000000002183,-1.8972198672770186,9.357738536494,0.016445115581045406,0.07290339024548474
4.76859543,-74.1454649,2579.37,2025-09-17 12:18:31+00:00,81.14319432813087,2.0,20.390369123560248,36.702664422408446,-0.25,-1.2260690254554298,6.017495525420168,0.024468442948272297,0.09737183319375704
4.76867396,-74.14553882,2579.19,2025-09-17 12:18:32+00:00,93.11582866423015,1.0,11.972634336099276,43.10148360995739,-0.1799999999998363,-1.5034285266452136,6.398819187548945,0.01436716120331913,0.11173899439707617
4.76875902,-74.14561976,2579.05,2025-09-17 12:18:33+00:00,106.1504211689039,1.0,13.034592504673753,46.924533016825514,-0.13999999999987267,-1.074065030799187,3.8230494068681224,0.015641511005608504,0.12738050540268467
4.76884909,-74.14570547,2578.85,2025-09-17 12:18:34+00:00,119.95294843146633,1.0,13.802527262562421,49.68909814522472,-0.20000000000027285,-1.4490099979207947,2.764565128399205,0.016563032715074904,0.14394353811775956
4.76894011,-74.14579704,2578.97,2025-09-17 12:18:35+00:00,134.28448200423,1.0,14.331533572763675,51.59352086194923,0.11999999999989086,0.8373144394536014,1.9044227167245111,0.01719784028731641,0.16114137840507597
4.76903423,-74.14589057,2578.87,2025-09-17 12:18:36+00:00,149.01349565603755,1.0,14.729013651807549,53.02444914650717,-0.09999999999990905,-0.678932088488064,1.4309282845579432,0.017674816382169056,0.17881619478724503
4.76912216,-74.14597454,2578.7,2025-09-17 12:18:37+00:00,162.5107037868833,1.0,13.497208130845763,48.58994927104475,-0.17000000000007276,-1.259519734392806,-4.434499875462421,0.016196649757014916,0.19501284454425993
4.76920554,-74.14605792,2578.58,2025-09-17 12:18:38+00:00,175.59981159321478,1.0,13.08910780633147,47.12078810279329,-0.11999999999989086,-0.9167928156405313,-1.4691611682514605,0.015706929367597763,0.2107197739118577
4.76928158,-74.14613361,2578.6,2025-09-17 12:18:39+00:00,187.5093305752296,1.0,11.909518982014816,42.87426833525334,0.01999999999998181,0.16793289494046612,-4.246519767539951,0.014291422778417778,0.22501119669027547
4.76935275,-74.14620443,2578.56,2025-09-17 12:18:40+00:00,198.65435184106607,1.0,11.145021265836476,40.12207655701132,-0.03999999999996362,-0.3589046538886211,-2.7521917782420218,0.01337402551900377,0.23838522220927924
4.76947322,-74.14632041,2578.63,2025-09-17 12:18:42+00:00,217.218040595787,2.0,18.563688754720914,33.41463975849765,0.07000000000016371,0.3770802286391603,-3.3537183992568345,0.022276426505665095,0.26066164871494435
4.76955977,-74.14640809,2578.72,2025-09-17 12:18:44+00:00,230.8934503339113,2.0,13.675409738124301,24.615737528623743,0.08999999999969077,0.6581155645288551,-4.399451114936953,0.01641049168574916,0.2770721404006935
4.7696271,-74.14647413,2578.67,2025-09-17 12:18:46+00:00,241.36259154600916,2.0,10.469141212097867,18.84445418177616,-0.04999999999972715,-0.4775940928368456,-2.885641673423791,0.01256296945451744,0.28963510985521096
4.7696992,-74.14654261,2578.64,2025-09-17 12:18:49+00:00,252.40145203888864,3.0,11.03886049287948,13.246632591455375,-0.03000000000020009,-0.27176718121903365,-1.8659405301069285,0.013246632591455375,0.3028817424466663
4.76977605,-74.14662046,2578.24,2025-09-17 12:18:56+00:00,264.54393843953125,7.0,12.14248640064261,6.244707291759057,-0.40000000000009095,-3.294218225180981,-1.0002750428137597,0.014570983680771131,0.31745272612743747
4.76984627,-74.14668779,2578.24,2025-09-17 12:18:58+00:00,275.34349753301746,2.0,10.79955909348621,19.439206368275176,0.0,0.0,6.59724953825806,0.01295947091218345,0.33041219703962094
4.76996005,-74.146802,2578.61,2025-09-17 12:19:00+00:00,293.2384955474403,2.0,17.894998014422868,32.21099642596116,0.3700000000003456,2.0676168821149683,6.385895028842993,0.02147399761730744,0.3518861946569284
4.77002958,-74.14686947,2578.96,2025-09-17 12:19:01+00:00,303.9934903374696,1.0,10.754994790029286,38.71798124410543,0.34999999999990905,3.2543019018882853,6.506984818144268,0.012905993748035144,0.3647921884049635
4.77009645,-74.1469343,2579.11,2025-09-17 12:19:02+00:00,314.33250324404605,1.0,10.339012906576443,37.220446463675195,0.15000000000009095,1.4508154826335395,-1.497534780430236,0.01240681548789173,0.37719900389285527
4.77016296,-74.14699751,2579.33,2025-09-17 12:19:03+00:00,324.518501170158,1.0,10.185997926111952,36.66959253400303,0.2199999999997999,2.1598276535657517,-0.5508539296721651,0.012223197511334341,0.3894222014041896
4.77027666,-74.14710568,2580.01,2025-09-17 12:19:05+00:00,341.9401316482256,2.0,17.421630478067584,31.358934860521654,0.680000000000291,3.90319379610511,-2.655328836740688,0.0209059565736811,0.4103281579778707
4.77036521,-74.14719269,2580.39,2025-09-17 12:19:07+00:00,355.72089552726965,2.0,13.78076387904406,24.805374982279307,0.3799999999996544,2.7574668816255357,-3.276779939121173,0.016536916654852872,0.42686507463272355
4.77043624,-74.14726186,2580.42,2025-09-17 12:19:09+00:00,366.7267556021307,2.0,11.005860074861062,19.81054813474991,0.03000000000020009,0.2725820589771473,-2.497413423764698,0.013207032089833273,0.4400721067225568
4.7705185,-74.14735151,2580.76,2025-09-17 12:19:12+00:00,380.23052810224357,3.0,13.50377250011286,16.204527000135432,0.3400000000001455,2.5178149291044702,-1.2020070448714932,0.01620452700013543,0.4562766337226922
4.77059369,-74.14741367,2580.42,2025-09-17 12:19:18+00:00,391.0631496799858,6.0,10.832621577742259,6.499572946645356,-0.3400000000001455,-3.138667750553957,-1.6174923422483463,0.01299914589329071,0.46927577961598294
4.77066824,-74.14746885,2579.36,2025-09-17 12:19:35+00:00,401.36383053440903,17.0,10.300680854423206,2.1813206515249144,-1.0599999999999454,-10.290581904057069,-0.2540148408894377,0.012360817025307846,0.48163659664129077
4.77070795,-74.14755637,2576.64,2025-09-17 12:20:40+00:00,412.019793345025,65.0,10.65596281061596,0.5901764018187302,-2.7200000000002547,-25.525614609788853,-0.024479142303172063,0.012787155372739153,0.49442375201402994
4.77066228,-74.14766374,2577.23,2025-09-17 12:20:45+00:00,424.9558908382096,5.0,12.936097493184604,9.313990195092915,0.5900000000001455,4.560880901763361,1.7447627586548369,0.015523316991821525,0.5099470690058515
